Id,BrigadeNumber,Line,Vehicle,StartDepotTime
1,1,2,2701,04:00
2,2,2,2702,04:05
3,3,2,2703,04:10
4,4,2,2704,04:15
5,5,2,2705,04:20
6,6,2,2706,04:25
7,7,2,2707,04:30
8,8,2,2708,04:35
9,9,2,2709,04:40
10,10,2,2710,04:45
11,11,2,2711,04:50
12,1,4,2712,04:03
13,2,4,2713,04:08
14,3,4,2714,04:13
15,4,4,2715,04:18
16,5,4,2716,04:23
17,6,4,2717,04:28
18,7,4,2718,04:33
19,8,4,2719,04:38
20,9,4,2720,04:43
21,10,4,2721,04:48
22,11,4,2722,04:53
23,1,6,2723,04:06
24,2,6,2724,04:11
25,3,6,2725,04:16
26,4,6,2726,04:21
27,5,6,2901,04:26
28,6,6,2902,04:31
29,7,6,2903,04:36
30,8,6,2904,04:41
31,9,6,2905,04:46
32,10,6,2906,04:51
33,11,6,2907,04:56
34,1,7,2908,04:09
35,2,7,2909,04:14
36,3,7,2910,04:19
37,4,7,2911,04:24
38,5,7,2912,04:29
39,6,7,2913,04:34
40,7,7,2914,04:39
41,8,7,2915,04:44
42,9,7,3310,04:49
43,10,7,2917,04:54
44,11,7,2918,04:59
45,1,10,2919,04:12
46,2,10,2920,04:17
47,3,10,2921,04:22
48,4,10,2922,04:27
49,5,10,2923,04:32
50,6,10,2924,04:37
51,7,10,2925,04:42
52,8,10,2926,04:47
53,9,10,2927,04:52
54,10,10,2928,04:57
55,11,10,2929,05:02
56,1,12,2930,04:15
57,2,12,2931,04:20
58,3,12,2932,04:25
59,4,12,2933,04:30
60,5,12,2934,04:35
61,6,12,2935,04:40
62,7,12,3309,04:45
63,8,12,2937,04:50
64,9,12,2938,04:55
65,10,12,2939,05:00
66,11,12,2940,05:05
67,1,13,3308,04:18
68,2,13,3002,04:23
69,3,13,3003,04:28
70,4,13,3004,04:33
71,5,13,3005,04:38
72,6,13,3006,04:43
73,7,13,3007,04:48
74,8,13,3008,04:53
75,9,13,3009,04:58
76,10,13,3010,05:03
77,11,13,3011,05:08
78,1,14,3012,04:21
79,2,14,3013,04:26
80,3,14,3014,04:31
81,4,14,3015,04:36
82,5,14,3016,04:41
83,6,14,3017,04:46
84,7,14,3001,04:51
85,8,14,2936,04:56
86,9,14,2916,05:01
87,10,14,3311,05:06
88,11,14,3312,05:11
89,1,17,3313,04:24
90,2,17,3314,04:29
91,3,17,3315,04:34
92,4,17,3316,04:39
93,5,17,3317,04:44
94,6,17,3318,04:49
95,7,17,3112,04:54
96,8,17,3113,04:59
97,9,17,3114,05:04
98,10,17,3115,05:09
99,11,17,3116,05:14
100,1,18,3117,04:27
101,2,18,3118,04:32
102,3,18,3119,04:37
103,4,18,3120,04:42
104,5,18,3301,04:47
105,6,18,3302,04:52
106,7,18,3303,04:57
107,8,18,3304,05:02
108,9,18,3305,05:07
109,10,18,3306,05:12
110,11,18,3307,05:17
111,1,19,3128,04:30
112,2,19,3129,04:35
113,3,19,3130,04:40
114,4,19,3131,04:45
115,5,19,3121,04:50
116,6,19,3122,04:55
117,7,19,3123,05:00
118,8,19,3134,05:05
119,9,19,3125,05:10
120,10,19,3126,05:15
121,11,19,3127,05:20
122,1,21,3101,04:33
123,2,21,3102,04:38
124,3,21,3103,04:43
125,4,21,3104,04:48
126,5,21,3105,04:53
127,6,21,3106,04:58
128,7,21,3107,05:03
129,8,21,3108,05:08
130,9,21,3109,05:13
131,10,21,3110,05:18
132,11,21,3111,05:23
133,1,22,3319,04:36
134,2,22,3320,04:41
135,3,22,3321,04:46
136,4,22,3322,04:51
137,5,22,3323,04:56
138,6,22,3324,05:01
139,7,22,3325,05:06
140,8,22,3326,05:11
141,9,22,3327,05:16
142,10,22,3328,05:21
143,11,22,3329,05:26
144,1,23,3330,04:39
145,2,23,3331,04:44
146,3,23,3332,04:49
147,4,23,3333,04:54
148,5,23,3334,04:59
149,6,23,3335,05:04
150,7,23,3336,05:09
151,8,23,3337,05:14
152,9,23,3338,05:19
153,10,23,3339,05:24
154,11,23,3340,05:29
